Index,0 [INT] [0x10],1 [UINT] [0x0],2 [UINT] [0x4],3 [UINT] [0x8],4 [UINT] [0xC],5 [BBOOL] [0x14]
0,1,0,0,0,0,false
1,2,1,0,0,0,false
2,4,2007,0,0,0,false
3,4,2007,0,0,0,false
4,4,2007,0,0,0,false
5,6,8,0,0,0,false
6,2,5,0,0,0,false
7,2,5,0,0,0,false
8,1,0,0,0,0,false
9,1,0,0,0,0,false
10,3,9,2068,0,0,false
11,3,9,2068,0,0,false
12,1,0,0,0,0,false
13,1,0,0,0,0,false
14,1,0,0,0,0,false
15,1,0,0,0,0,false
16,1,0,0,0,0,false
17,1,0,0,0,0,false
18,2,35,0,0,0,false
19,2,35,0,0,0,false
20,2,35,0,0,0,false
21,2,43,24,0,0,false
22,2,43,24,0,0,false
23,2,12,0,0,0,false
24,2,12,0,0,0,false
25,2,12,0,0,0,false
26,4,2033,0,0,0,false
27,3,44,2068,0,0,false
28,3,44,2068,0,0,false
29,3,44,2068,0,0,false
30,3,44,2068,0,0,false
31,3,44,2068,0,0,false
32,3,45,2068,0,0,false
33,3,46,2068,0,0,false
34,1,0,0,0,0,false
35,1,0,0,0,0,false
36,1,0,0,0,0,false
37,1,0,0,0,0,false
38,1,0,0,0,0,false
39,1,0,0,0,0,false
40,1,0,0,0,0,false
41,1,0,0,0,0,false
42,2,42,0,0,0,false
43,1,0,0,0,0,false
44,1,0,0,0,0,false
45,1,0,0,0,0,false
46,1,0,0,0,0,false
47,1,0,0,0,0,false
48,1,0,0,0,0,false
49,1,0,0,0,0,false
50,1,0,0,0,0,false
51,1,0,0,0,0,false
52,3,18,2068,0,0,false
53,3,18,2068,0,0,false
54,3,18,2068,0,0,false
55,3,18,2068,0,0,false
56,3,18,2068,0,0,false
57,3,18,2068,0,0,false
58,3,18,2068,0,0,false
59,3,19,1560,0,0,false
60,3,20,1560,0,0,false
61,1,0,0,0,0,false
62,1,0,0,0,0,false
63,1,0,0,0,0,false
64,1,0,0,0,0,false
65,3,31,2004,0,0,false
66,1,0,0,0,0,false
67,4,2039,0,0,0,false
68,4,2039,0,0,0,false
69,4,2039,0,0,0,false
70,4,2039,0,0,0,false
71,2,34,0,0,0,false
72,2,34,0,0,0,false
73,2,34,0,0,0,false
74,5,36,0,0,0,false
75,1,0,0,0,0,false
76,1,0,0,0,0,false
77,1,0,0,0,0,false
78,2,32,0,0,0,false
79,2,33,0,0,0,false
80,2,32,0,0,0,false
81,2,33,0,0,0,false
82,1,0,0,0,0,false
83,1,0,0,0,0,false
84,1,0,0,0,0,false
85,1,0,0,0,0,false
86,1,0,0,0,0,false
87,1,0,0,0,0,false
88,1,0,0,0,0,false
89,1,0,0,0,0,false
90,1,0,0,0,0,false
91,1,0,0,0,0,false
92,1,0,0,0,0,false
93,1,0,0,0,0,false
94,1,0,0,0,0,false
95,1,0,0,0,0,false
96,1,0,0,0,0,false
97,1,0,0,0,0,false
98,1,0,0,0,0,false
99,1,0,0,0,0,false
100,1,0,0,0,0,false
101,1,0,0,0,0,false
102,1,0,0,0,0,false
103,1,0,0,0,0,false
104,1,0,0,0,0,false
105,1,0,0,0,0,false
106,2,32,0,0,0,false
107,2,33,0,0,0,false
108,2,32,0,0,0,false
109,2,33,0,0,0,false
110,1,0,0,0,0,false
111,2,8,0,0,0,false
112,1,0,0,0,0,false
113,1,0,0,0,0,false
114,1,0,0,0,0,false
115,1,0,0,0,0,false
116,1,0,0,0,0,false
117,1,0,0,0,0,false
118,1,0,0,0,0,false
119,1,0,0,0,0,false
120,1,0,0,0,0,false
121,1,0,0,0,0,false
122,1,0,0,0,0,false
123,1,0,0,0,0,false
124,1,0,0,0,0,false
125,2,60,0,0,0,false
126,2,60,0,0,0,false
127,2,60,0,0,0,false
128,2,60,0,0,0,false
129,2,60,0,0,0,false
130,2,60,0,0,0,false
131,2,60,0,0,0,false
132,2,60,0,0,0,false
133,5,60,4303380,0,0,false
134,2,32,0,0,0,false
